Name,State,Code,2024 estimate,2020 census,area,density,coordinates
Camden,NJ,CAM,"71,749",,,,"39.9259° N, 75.1196° W"
St. Joseph,MO,STJ,"71,098",,,,"39.7675° N, 94.8467° W"
Canton,OH,CAN,"69,211",,,,"40.7989° N, 81.3784° W"
Gary,IN,GRY,"67,555",,,,"40.089° N, 85.676° W"
Utica,NY,UTI,"63,660",,,,"43.1009° N, 75.2327° W"
Youngstown,OH,YOU,"59,123",,,,"41.0998° N, 80.6495° W"
Niagara Falls,NY,NIA,"47,512",,,,"43.0962° N, 79.0377° W"
Augusta,ME,AGM,,,,,"44.3106° N, 69.7795° W"
Annapolis,MD,ANN,,,,,"38.9784° N, 76.4922° W"
Bismarck,ND,BIS,,,,,"46.8083° N, 100.7837° W"
Cheyenne,WY,CHE,,,,,"41.1400° N, 104.8202° W"
Concord,NH,CNH,,,,,"43.2081° N, 71.5376° W"
Carson City,NV,CRC,,,,,"39.1638° N, 119.7674° W"
Charleston,WV,CWV,,,,,"38.3498° N, 81.6326° W"
Dover,DE,DOV,,,,,"39.1582° N, 75.5244° W"
Frankfort,KY,FRA,,,,,"38.2009° N, 84.8733° W"
Harrisburg,PA,HAR,,,,,"40.2732° N, 76.8867° W"
Helena,MT,HEL,,,,,"46.5884° N, 112.0245° W"
Jefferson City,MO,JEF,,,,,"38.5767° N, 92.1735° W"
Juneau,AK,JUN,,,,,"58.3019° N, 134.4197° W"
Montpelier,VT,MON,,,,,"44.2624° N, 72.5805° W"
Olympia,WA,OLY,,,,,"47.0379° N, 122.9007° W"
Pierre,SD,PIE,,,,,"44.3733° N, 100.3205° W"
Santa Fe,NM,STF,,,,,"35.6870° N, 105.9378° W"
